data_date,individuals
1/1/13,346388
1/2/13,349143
1/3/13,349476
1/5/13,349762
1/6/13,358698
1/7/13,359101
1/8/13,361913
1/9/13,362128
1/10/13,362597
1/12/13,362559
1/13/13,363530
1/14/13,311878
1/15/13,314156
1/16/13,317073
1/17/13,317356
1/18/13,317699
1/20/13,320147
1/21/13,321519
1/22/13,324787
1/23/13,326463
1/27/13,326691
1/28/13,338228
1/29/13,339361
1/30/13,342192
1/31/13,343401
2/2/13,343724
2/3/13,346589
2/4/13,378312
2/5/13,380545
2/6/13,389295
2/7/13,391414
2/9/13,392507
2/10/13,397131
2/11/13,399138
2/12/13,401595
2/13/13,405733
2/14/13,407636
2/15/13,409072
2/16/13,409757
2/17/13,415115
2/18/13,417085
2/19/13,419229
2/20/13,421313
2/21/13,427089
2/22/13,540975
2/24/13,541073
2/25/13,537406
2/26/13,538891
2/27/13,544431
2/28/13,546987
3/1/13,548046
3/3/13,562877
3/4/13,558897
3/5/13,562273
3/6/13,568107
3/7/13,567811
3/8/13,567598
3/9/13,642345
3/10/13,643208
3/11/13,826237
3/12/13,829487
3/13/13,837272
3/14/13,837906
3/15/13,839914
3/17/13,850848
3/18/13,856967
3/19/13,858814
3/20/13,859770
3/21/13,859500
3/22/13,860104
3/23/13,860049
3/24/13,859081
3/25/13,888685
3/26/13,891768
3/27/13,951499
3/28/13,961035
3/29/13,961006
3/31/13,961509
4/1/13,973832
4/2/13,981478
4/3/13,1242377
4/4/13,1246595
4/5/13,1285031
4/6/13,1285607
4/7/13,1286732
4/8/13,1295894
4/9/13,1299132
4/10/13,1305165
4/11/13,1311291
4/12/13,1312345
4/13/13,1312117
4/14/13,1316580
4/15/13,1329284
4/16/13,1336851
4/17/13,1340847
4/18/13,1360925
4/20/13,1363339
4/21/13,1370815
4/22/13,1399968
4/23/13,1408419
4/24/13,1414445
4/25/13,1419129
4/26/13,1420571
4/28/13,1420571
4/29/13,1430744
4/30/13,1436788
5/1/13,1437329
5/2/13,1446457
5/3/13,1446005
5/4/13,1455005
5/5/13,1455698
5/6/13,1458843
5/7/13,1459998
5/8/13,1466263
5/9/13,1427378
5/10/13,1428135
5/12/13,1429897
5/13/13,1466169
5/14/13,1466244
5/15/13,1501490
5/16/13,1507968
5/17/13,1511003
5/18/13,1510965
5/19/13,1513367
5/20/13,1525253
5/21/13,1537197
5/22/13,1541284
5/23/13,1550921
5/24/13,1552406
5/26/13,1553389
5/27/13,1580047
5/28/13,1585514
5/29/13,1589167
5/30/13,1594258
5/31/13,1591034
6/3/13,1574238
6/4/13,1580561
6/5/13,1593710
6/6/13,1599295
6/7/13,1601437
6/9/13,1603746
6/10/13,1609015
6/11/13,1609575
6/12/13,1622209
6/13/13,1629761
6/14/13,1634555
6/16/13,1627418
6/17/13,1642847
6/18/13,1648446
6/19/13,1653387
6/20/13,1664040
6/21/13,1666598
6/23/13,1673645
6/24/13,1679571
6/25/13,1686979
6/26/13,1706480
6/27/13,1712212
6/28/13,1715049
6/30/13,1712491
7/1/13,1713489
7/2/13,1724127
7/3/13,1727951
7/4/13,1732154
7/7/13,1735310
7/8/13,1742129
7/9/13,1747069
7/10/13,1756878
7/11/13,1745349
7/12/13,1748290
7/13/13,1749097
7/14/13,1757700
7/15/13,1764820
7/16/13,1769991
7/17/13,1791121
7/18/13,1796953
7/19/13,1800569
7/21/13,1800959
7/22/13,1821978
7/23/13,1828801
7/24/13,1837750
7/25/13,1844476
7/26/13,1846775
7/28/13,1848325
7/29/13,1855310
7/30/13,1865767
7/31/13,1873004
8/1/13,1877567
8/2/13,1880054
8/4/13,1880385
8/5/13,1889048
8/6/13,1884523
8/7/13,1891247
8/8/13,1893586
8/9/13,1893849
8/11/13,1895275
8/12/13,1898129
8/13/13,1895781
8/14/13,1901796
8/15/13,1904156
8/16/13,1906066
8/18/13,1900437
8/19/13,1911573
8/20/13,1921048
8/21/13,1923825
8/22/13,1931787
8/23/13,1933698
8/24/13,1933707
8/25/13,1934911
8/26/13,1931398
8/27/13,1956651
8/28/13,1954072
8/29/13,1958557
8/31/13,1960377
9/1/13,1960647
9/2/13,1972167
9/3/13,1985750
9/4/13,1988280
9/5/13,1991749
9/6/13,1993661
9/9/13,1997084
9/12/13,2005232
9/14/13,2007618
9/16/13,2043372
9/17/13,2045803
9/18/13,2061958
9/19/13,2063408
9/21/13,2067918
9/22/13,2059931
9/23/13,2063763
9/24/13,2070467
9/25/13,2070434
9/26/13,2071331
9/27/13,2077976
9/29/13,2078345
9/30/13,2081884
10/1/13,2091073
10/2/13,2093088
10/3/13,2103582
10/4/13,2106664
10/6/13,2109091
10/7/13,2114021
10/8/13,2116546
10/9/13,2120006
10/10/13,2124646
10/11/13,2124650
10/13/13,2124890
10/14/13,2131916
10/16/13,2130897
10/17/13,2132275
10/19/13,2132200
10/20/13,2132715
10/21/13,2133772
10/22/13,2139293
10/23/13,2141757
10/24/13,2144241
10/25/13,2148879
10/27/13,2148894
10/28/13,2151834
10/29/13,2155311
10/30/13,2144375
10/31/13,2150921
11/1/13,2150952
11/2/13,2155396
11/3/13,2157514
11/4/13,2157551
11/5/13,2196497
11/6/13,2194865
11/7/13,2188044
11/8/13,2211737
11/10/13,2213230
11/11/13,2201769
11/12/13,2207448
11/13/13,2210032
11/14/13,2211353
11/15/13,2212450
11/17/13,2218911
11/18/13,2223086
11/19/13,2227677
11/20/13,2232207
11/21/13,2232456
11/24/13,2232599
11/25/13,2234841
11/26/13,2244146
11/27/13,2253126
11/28/13,2254461
11/30/13,2265205
12/2/13,2261022
12/3/13,2266919
12/4/13,2269068
12/5/13,2271149
12/6/13,2271335
12/8/13,2274458
12/9/13,2277777
12/10/13,2280479
12/11/13,2284166
12/12/13,2287345
12/14/13,2287287
12/15/13,2288193
12/16/13,2305285
12/17/13,2305276
12/18/13,2311265
12/19/13,2311622
12/22/13,2312972
