data_date,individuals
1/1/13,148441
1/6/13,150906
1/14/13,153307
1/16/13,154705
1/22/13,156801
1/28/13,163161
2/4/13,170643
2/5/13,170700
2/6/13,177180
2/7/13,177914
2/11/13,177387
2/13/13,180373
2/14/13,181729
2/15/13,182621
2/25/13,183846
2/26/13,184513
2/27/13,184585
3/1/13,185205
3/5/13,185982
3/9/13,186246
3/11/13,342803
3/13/13,345012
3/15/13,347153
3/17/13,352752
3/18/13,352767
3/22/13,354046
3/25/13,361196
3/26/13,361997
3/27/13,362955
3/28/13,363988
4/1/13,368782
4/2/13,370136
4/3/13,370877
4/5/13,374295
4/7/13,377454
4/8/13,378043
4/9/13,378758
4/10/13,379580
4/11/13,380646
4/14/13,384186
4/15/13,385455
4/16/13,386361
4/17/13,387285
4/18/13,388488
4/21/13,394301
4/22/13,394440
4/23/13,394534
4/24/13,395192
4/25/13,394544
4/26/13,394727
4/29/13,395694
4/30/13,395422
5/1/13,395963
5/2/13,395963
5/3/13,395761
5/6/13,396375
5/7/13,394410
5/8/13,396296
5/9/13,346044
5/10/13,345793
5/13/13,362078
5/14/13,362667
5/15/13,363870
5/16/13,363870
5/17/13,364528
5/19/13,367532
5/20/13,367822
5/21/13,366945
5/22/13,367132
5/23/13,366530
5/24/13,366320
5/27/13,365247
5/28/13,365212
5/29/13,365851
5/30/13,365723
6/3/13,343025
6/4/13,343339
6/5/13,344456
6/10/13,346273
6/11/13,341126
6/12/13,341360
6/13/13,341344
6/16/13,341868
6/17/13,343798
6/18/13,342993
6/19/13,341675
6/20/13,342914
6/23/13,343721
6/24/13,343423
6/25/13,343572
6/26/13,343742
6/27/13,343961
6/30/13,344442
7/1/13,344582
7/2/13,344488
7/3/13,344291
7/4/13,344457
7/7/13,345078
7/8/13,344821
7/9/13,344884
7/10/13,344652
7/11/13,333789
7/12/13,333776
7/14/13,333422
7/15/13,332928
7/16/13,332928
7/17/13,333784
7/18/13,333737
7/19/13,333724
7/22/13,333195
7/23/13,333243
7/24/13,337039
7/25/13,336748
7/26/13,336729
7/29/13,336565
7/30/13,336573
7/31/13,336354
8/1/13,336239
8/5/13,335531
8/6/13,334987
8/7/13,334823
8/12/13,333607
8/13/13,333470
8/14/13,333858
8/15/13,333867
8/18/13,328578
8/19/13,328808
8/20/13,328073
8/21/13,328069
8/22/13,327881
8/26/13,327807
8/27/13,327083
8/28/13,326989
8/29/13,327132
9/1/13,327309
9/2/13,326246
9/16/13,325818
9/17/13,325814
9/18/13,324885
9/19/13,324755
9/22/13,324665
9/23/13,324318
9/24/13,324036
9/26/13,324067
10/1/13,324072
10/3/13,323501
10/4/13,323537
10/6/13,324789
10/7/13,324841
10/8/13,324749
10/9/13,324593
10/10/13,324587
10/11/13,324591
10/14/13,324839
10/17/13,325575
10/21/13,325611
10/22/13,326032
10/23/13,326541
10/24/13,326441
10/25/13,326406
10/28/13,326587
10/29/13,326577
10/30/13,313902
10/31/13,313921
11/2/13,313908
11/3/13,314335
11/4/13,314372
11/5/13,315641
11/6/13,316728
11/7/13,316661
11/11/13,318509
11/12/13,318599
11/14/13,318270
11/15/13,318093
11/17/13,319355
11/18/13,319300
11/19/13,320814
11/20/13,320814
11/21/13,321432
11/26/13,321912
11/27/13,322812
11/28/13,323065
11/30/13,323128
12/3/13,324307
12/4/13,324398
12/5/13,324503
12/8/13,324564
12/9/13,326324
12/10/13,327148
12/11/13,327702
12/12/13,327113
12/16/13,329023
12/17/13,328893
12/18/13,329672
12/19/13,330145
12/22/13,330071
12/24/13,331307
12/25/13,332555
12/29/13,332563
12/31/13,338132
1/1/14,337997
1/5/14,338004
1/6/14,338025
1/7/14,338089
1/8/14,338357
1/9/14,338715
1/12/14,340580
1/13/14,341029
1/14/14,341028
1/15/14,341365
1/16/14,341308
1/19/14,341877
1/20/14,345384
